time_stamp,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8
20250418_203037,1,1,0,0,0,0,0,0
20250418_203037,1,1,0,0,0,0,0,0
20250418_203037,1,1,0,0,0,0,0,0
20250418_203037,1,1,0,0,0,0,0,0
20250418_203037,1,1,0,0,0,0,0,0
20250418_203037,1,1,0,0,0,0,0,0
20250418_203037,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203038,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203039,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203040,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203041,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203042,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203043,1,1,0,0,0,0,0,0
20250418_203044,1,1,0,0,0,0,0,0
20250418_203044,1,1,0,0,0,0,0,0
