time_stamp,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8
20241217_200443,0,0,0,0,0,0,0,0
20241217_200443,0,0,0,0,0,0,0,0
20241217_200444,0,0,0,0,0,0,0,0
20241217_200444,0,0,0,0,0,0,0,0
20241217_200444,0,0,0,0,0,0,0,0
20241217_200444,0,0,0,0,0,0,0,0
20241217_200444,0,0,0,0,0,0,0,0
20241217_200445,0,0,0,0,0,0,0,0
20241217_200445,0,0,0,0,0,0,0,0
20241217_200445,0,0,0,0,0,0,0,0
20241217_200445,0,0,0,0,0,0,0,0
20241217_200445,0,0,0,0,0,0,0,0
20241217_200446,0,0,0,0,0,0,0,0
20241217_200446,0,0,0,0,0,0,0,0
20241217_200446,0,0,0,0,0,0,0,0
20241217_200446,0,0,0,0,0,0,0,0
20241217_200446,0,0,0,0,0,0,0,0
20241217_200447,1,0,0,0,0,0,0,0
20241217_200447,1,0,0,0,0,0,0,0
20241217_200447,1,0,0,0,0,0,0,0
20241217_200447,1,0,0,0,0,0,0,0
20241217_200447,1,0,0,0,0,0,0,0
20241217_200448,1,0,0,0,0,0,0,0
20241217_200448,1,0,0,0,0,0,0,0
20241217_200448,1,0,0,0,0,0,0,0
20241217_200448,1,0,0,0,0,0,0,0
20241217_200448,1,0,0,0,0,0,0,0
20241217_200449,1,0,0,0,0,0,0,0
20241217_200449,1,0,0,0,0,0,0,0
20241217_200449,1,0,0,0,0,0,0,0
20241217_200449,1,0,0,0,0,0,0,0
20241217_200449,1,0,0,0,0,0,0,0
20241217_200450,1,0,0,0,0,0,0,0
20241217_200450,1,0,0,0,0,0,0,0
20241217_200450,1,0,0,0,0,0,0,0
20241217_200450,1,0,0,0,0,0,0,0
20241217_200450,1,0,0,0,0,0,0,0
20241217_200451,1,0,0,0,0,0,0,0
