time_stamp,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8
20250108_164949,0,1,0,0,0,0,0,0
20250108_164949,0,1,0,0,0,0,0,0
20250108_164949,0,1,0,0,0,0,0,0
20250108_164949,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164950,0,1,0,0,0,0,0,0
20250108_164951,0,1,0,0,0,0,0,0
20250108_164951,0,1,0,0,0,0,0,0
20250108_164951,0,1,0,0,0,0,0,0
20250108_164951,0,1,0,0,0,0,0,0
20250108_164951,0,1,0,0,0,0,0,0
20250108_164951,0,1,0,0,0,0,0,0
20250108_164951,0,1,0,0,0,0,0,0
20250108_164951,0,0,0,0,0,0,0,0
