time_stamp,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8
20250108_164600,0,1,0,0,0,0,0,0
20250108_164600,0,1,0,0,0,0,0,0
20250108_164600,0,1,0,0,0,0,0,0
20250108_164600,0,1,0,0,0,0,0,0
20250108_164600,0,1,0,0,0,0,0,0
20250108_164600,0,1,0,0,0,0,0,0
20250108_164600,0,1,0,0,0,0,0,0
20250108_164600,0,1,0,0,0,0,0,0
20250108_164600,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164601,0,1,0,0,0,0,0,0
20250108_164602,0,1,0,0,0,0,0,0
20250108_164602,0,0,0,0,0,0,0,0
